label,id
سيمان آبيك,10102405220
سرمايه گذاري ارزش آفرينان,10102500883
افرانت,10101786601
سرمايه‌ گذاري‌ البرز(هلدينگ‌,10100443908
آلومينيوم‌ايران‌,10780060750
آلومراد,10100711365
آلومتك‌,10100453064
داروسازي‌ امين‌,10260063258
آتيه داده پرداز,10102320058
پليمر آريا ساسول,10320053498
سراميك‌هاي‌صنعتي‌اردكان‌,10840024608
شركت آهن و فولاد ارفع,10102830088
بيمه آرمان,10320718237
بيمه آسيا,10100314757
انتقال داده هاي آسياتك,10102583274
بيمه البرز,10100314776
نهادهاي مالي بورس انرژي,10320798438
بهنوش‌ ايران‌,10100427917
شركت بهمن ليزينگ,10102377650
صنعتي بهپاك,10100503545
بسته‌ بندي‌ ايران‌,10100382645
بانك خاورميانه,10320826196
بيمه زندگي باران,14009058908
مواد اوليه دارويي البرز بالك,10102247441
مهندسي ساختمان تاسيسات راه آهن,10100193589
بانك ملت,10100834967
بيمه نوين,10103808680
گروه‌صنعتي‌بوتان‌,10100393826
بانك‌پارسيان‌,10102203401
بسته‌ بندي‌ پارس,10100679553
بانك صادرات ايران,10861736062
بيمه سامان,10102818130
توليدات پتروشيمي قائد بصير,10101795696
بيمه ما,10320591652
سپرده گذاري مركزي و تسويه وجوه,10103800056
صنايع سرام آرا,10861450700
شركت سرمايه گذاري مسكن شمالغرب,10200248803
چرخشگر,10100509458
معدني‌وصنعتي‌چادرملو,10101887744
سرمايه گذاري و توسعه خوزستان,10860736052
سيمان ممتازان كرمان,10860238958
اعتباري كاسپين,14005432871
پالايش قطران ذغالسنگ,10260328063
س.توسعه و عمران استان اردبيل,10240049946
سرمايه گذاري توسعه عمران زاگرس,10680033968
داروسازي‌ ابوريحان‌,10100402567
داده‌پردازي‌ايران‌,10100978129
البرزدارو,10861412626
داروسازي زاگرس فارمد پارس,10740034217
داروپخش‌ (هلدينگ‌,10100835286
داروسازي‌ فارابي‌,10260279270
دوده‌ صنعتي‌ پارس‌,10101007595
كارخانجات‌داروپخش‌,10101823437
توزيع دارو پخش,10101725582
دارويي‌ رازك‌,10860385410
سبحان دارو,10102402553
شيرين دارو,10530184352
داروسازي‌ سينا,10100450900
داروسازي سبحان انكولوژي,10102350203
گروه دارويي سبحان,10100711350
داروسازي توليد دارو,10102901102
سرمايه گذاري دارويي تامين,10102543204
‌داروسازي‌زهراوي‌,10102328820
بهمن ديزل,10102571964
اعتباري نور,14004932504
تجارت الكترونيك پارسيان,10101850423
صنايع توليدي اشتاد ايران‌,10861808525
بيمه اتكايي امين,10861533126
شركت سرمايه گذاري اعتلاء البرز,10101156935
داروسازي‌ اكسير,10100999659
فولاد افزا سپاهان,10260449435
فولاد اميركبيركاشان,10260206130
پتروشيمي فارابي,10100613721
فيبر ايران‌,10100429427
فولاد خراسان,10861926358
فولاد خوزستان,10101138294
گروه صنايع معادن فلات ايرانيان,10102849101
صندوق سرمايه گذاري پروژه آرمان پرند مپنا,10000000001
فرابورس ايران,10103749172
قاسم ايران,10100984757
‌گروه‌صنايع‌بهشهرايران‌,10101662543
آهن و فولاد غدير ايرانيان,10102906939
گروه‌ صنعتي‌ ملي‌ (هلدينگ‌,10100515216
قند مرودشت‌,10100495902
قند نيشابور,10860445038
معدني و صنعتي گل گهر,10860515050
گسترش‌سرمايه‌گذاري‌ايران‌خودرو,10101800682
داروسازي شهيد قاضي,10200092392
فرآورده‌هاي‌غدايي‌وقندپيرانشهر,10220048615
بانك گردشگري,10320435268
گلتاش‌,10260244573
حمل و نقل گهرترابر سيرجان,10980296959
سنگ آهن گهرزمين,10860541940
پخش هجرت,10100418567
بيمه حافظ,10861529526
توليدتجهيزات‌سنگين‌هپكو,10100594509
سرمايه گذاري اقتصاد نوين,10103838251
توليد ژلاتين كپسول ايران,10100127830
ايران‌ خودرو,10100360794
ايران خودرو ديزل,10100326014
سرمايه گذاري خوارزمي,10101750182
توليد و توسعه سرب روي ايرانيان,10320128841
گروه سرمايه گذاري ميراث فرهنگي,10103992454
‌ايران‌دارو,10100394490
چيني ايران,10100288420
ايتالران‌,10100323537
توسعه مولد نيروگاهي جهرم,10320689841
بورس كالاي ايران,10103387520
گروه صنايع كاغذ پارس,10420002350
توسعه فناوري اطلاعات خوارزمي,10101788618
شركت كي بي سي,10861220664
فرآورده هاي سيمان شرق,10860260078
كارخانجات توليدي شهيد قندي,10100994352
اقتصادي و خودكفايي آزادگان,10100353165
سيمان خوزستان,10420082717
الكتريك‌ خودرو شرق‌,10380275609
كيوان,10100422509
كارتن‌ مشهد-ورشكسته,10380192345
توسعه معدني و صنعتي صبانور,10101726150
كارخانجات پشمبافي افشار يزد,10100313060
تجارت الكترونيك پارسيان كيش,10861572410
كاشي‌ پارس‌,10100607716
س. توسعه وعمران استان كرمان,10860555136
پتروشيمي خراسان,10860328848
كشتيراني جمهوري اسلامي ايران,10861629011
ليزينگ ايرانيان,10102340228
ليزينگ‌خودروغدير,10102404600
لوله‌وماشين‌سازي‌ايران‌,10100377816
سرمايه گذاري لقمان,10102801085
لبنيات‌ پاك‌,10100326962
توسعه‌معادن‌وفلزات‌,10101634157
محورسازان‌ايران‌خودرو,10100399042
مهركام‌پارس‌,10101267070
پارس‌ مينو,10100320247
صنعتي مينو,10460002140
بيمه زندگي خاورميانه,14006444985
معادن‌منگنزايران‌,10860958854
شركت صنايع غذايي مينو شرق,10860251887
مبين وان كيش,10980196817
سرمايه گذاري توسعه معين ملت,10320359435
سرمايه گذاري مسكن پرديس,10103122715
مارگارين‌,10100239199
ايران‌ مرينوس‌,10100470757
سرمايه گذاري مسكن جنوب,10103382392
سرمايه‌گذاري‌ مسكن‌,10101236571
ملي‌ صنايع‌ مس‌ ايران‌‌,10100582059
موتورسازان‌تراكتورسازي‌ايران‌,10200101232
نورد آلومينيوم‌,10100577370
نفت‌ بهران‌,10100434484
نهادهاي مالي بورس اوراق بهادار,10000000002
سرمايه‌گذاري‌ ملي‌ايران‌,10100686779
اقتصادي نگين گردشگري ايرانيان,10320412650
قند نقش جهان,10260138918
نهادهاي مالي بورس كالاي ايران,10000000003
نيرو محركه‌,10101011750
نفت ايرانول,10102373511
بانك‌اقتصادنوين‌,10102194601
نفت‌ پارس‌,10100302746
نفت پاسارگاد,10102472141
فرآورده‌هاي‌نسوزآذر,10260298230
مجتمع توليدي نيلي صنعت كرمان,10630146473
نوسازي‌وساختمان‌تهران‌,10101683349
عمران‌وتوسعه‌فارس‌,10530196515
افست‌,10100282064
تامين سرمايه اميد,10320701236
پاكسان‌,10100364988
پتروشيمي پارس,10320061053
گسترش نفت و گاز پارسيان,10103389006
پارس‌ دارو,10100336986
پتروشيمي‌ اصفهان‌,10260279928
پتروشيمي فناوران,10101826594
س. پتروشيمي ساختمان خليج فارس,10102773156
برق و انرژي پيوندگستر پارس,10320481010
كشت‌وصنعت‌پياذر,10861349161
صنايع پتروشيمي كرمانشاه,10660049146
پتروشيمي‌ خارك‌,10100455748
پخش البرز,10100664423
سرمايه گذاري مسكن شمال شرق,10380421244
سرمايه گذاري مسكن تهران,10103074333
پالايش نفت بندرعباس,10101874688
پالايش نفت اصفهان,10101874620
پالايش نفت تبريز,10101874806
پتروشيمي پرديس,10102723888
به پرداخت ملت,10102952412
پالايش نفت شيراز,10101874709
توسعه بين المللي پديده شانديز,10380382990
مجتمع پترو صنعت گامرون,10103132855
پتروشيمي‌شيراز,10530010025
س. نفت و گاز و پتروشيمي تأمين,10420205695
پالايش نفت تهران,10101874640
پتروشيمي زاگرس,10101912174
ايران ترانسفو ري,10102510120
صنايع‌ريخته‌گري‌ايران‌,10100690330
كارت اعتباري ايران كيش,10861532334
ريخته‌گري‌ تراكتورسازي‌ ايران‌,10200101095
پتروشيمي اروند,10860727560
رايان هم افزا,10102968790
سيمان ساوه,10101175572
سيمان‌ آرتا اردبيل,10240057286
سرمايه گذاري صدرتامين,10101924696
سرمايه گذاري گروه سپهرصادرات,14004518505
سرمايه گذاري ساختمان ايران,10101660410
صنعتي‌ آما,10100322690
مجتمع سيمان غرب آسيا,10380425043
سرمايه‌گذاري‌بهمن‌,10102341535
سيمان‌ بهبهان‌,10420111121
سيمان‌ بجنورد,10101013009
سيمان‌ داراب‌,10101134554
گروه‌صنعتي‌سديد,10100456884
سيمان‌ دورود,10740026271
صنايع سيمان دشتستان,10101336603
سيمان‌ ايلام‌,10101169402
پرداخت الكترونيك سامان كيش,10861533067
نفت سپاهان,10101978329
سيمان‌فارس‌وخوزستان,10100235615
سيمان فارس نو,10101258929
سيمان‌فارس‌,10861051155
شركت فارسيت اهواز,10861494662
شيشه‌ و گاز,10100889278
سيمان‌ قائن‌,10100917154
سيمان‌غرب‌,10660015738
شهد ايران‌,10380252873
سيمان‌هگمتان‌,10820049324
شكرشاهرود,10100300290
شيشه‌ همدان‌,10861100557
صنايع‌ لاستيكي‌ سهند,10103858909
س. چشم انداز توسعه شمال,10760319653
مديريت صنعت شوينده ت.ص.بهشهر,10102757695
سيمان‌ شمال‌,10100246682
صنايع‌ كاشي‌ و سراميك‌ سينا,10101178687
سرمايه گذاري سيمان تامين,10101942066
مجتمع جهان فولاد سيرجان,10630161649
تامين مسكن جوانان,10102172273
سيمان‌ خزر,10101094745
سيمان‌ كرمان‌,10630019476
سيمان‌خاش‌,10101054217
سرمايه گذاري مسكن الوند,10780114515
سيمان‌مازندران‌,10100665220
سرمايه گذاري ساختماني نوين,10102680599
ملي‌ سرب‌وروي‌ ايران‌,10460036512
شوكو پارس,10100359308
بيمه سرمد,10320903570
سيمان‌شاهرود,10480015652
سيمان‌سپاهان‌,10260259140
سيمان‌ شرق‌,10100233725
سيمان‌ سفيدني‌ريز,10530324529
سيمان‌ صوفيان‌,10200007381
فولاد شاهرود,10480063936
صنعتي و كشاورزي شيرين خراسان,10100383781
سيمان‌ تهران‌,10861081241
سرمايه گذاري صبا تامين,10101908370
پتروشيمي گلستان,10700144582
سيمان‌اروميه‌,10220016318
صنايع بهداشتي ساينا,10102239945
تابان نيرو سپاهان,10260328876
ايران‌ تاير,10100387143
ذغال‌سنگ‌ نگين‌ ط‌بس‌,10260357602
فرآوري زغال سنگ پروده طبس,10260377008
صنايع پتروشيمي تخت جمشيد,10103251617
تكادو,10260289240
توليدكنندگان بورس كالاي ايران,10000000004
توليدمحورخودرو,10101136712
تامين سرمايه بانك ملت,10320453421
تجلي توسعه معادن و فلزات,10320826260
بيمه تجارت نو,14005725237
تامين سرمايه نوين,10103584900
توسعه و عمران شهرستان نائين,10260041071
مهندسي مرآت پولاد,10260322490
تراكتورسازي‌ايران‌,10200044047
ايران‌ ترانسفو,10100433825
تامين سرمايه امين,10103525426
توسعه‌ صنايع‌ بهشهر(هلدينگ‌,10100539090
ترانسفورماتور توزيع زنگان,10460096368
ليزينگ اقتصاد نوين,10103024860
واسپاري ملت,10103972003
پتروشيمي مرجان,10102967236
توليد برق پرند مپنا,10320814852
شركت اعتباري ثامن,10000000010
تامين سرمايه كيميا,10000000012
پايانه ها و مخازن پتروشيمي,10000000017
زغالسنگ البرز شرقي,10480037917
سرمايه‌گذاري مسكن زاينده رود,10260482101
گروه مالی ملت,10102801942
بهساز مشارکت های ملت,10101165910
گروه فن آوران بهسازان فردا,14004003162
شبکه الکترونیکی پرداخت کارت شاپرک,10320718470
گروه بهمن,10100231402
بانک سامان,10101972093
ذوب آهن اصفهان,10260085303
کربن ایران,10840118827
سرمایه گذاری تأمین اجتماعی,10101044869
بیمه دانا,10100641966
تولیدی و خدمات صنایع نسوز توکا,10260057369
صنایع مس شهیدباهنر,10100941473
