Source,Target,Weight
10100235615,10102405220,0.7303
10100231402,10102500883,0.3639
10100686779,10101786601,0.0202
10100686779,10100443908,0.1339
10100686779,10780060750,0.022
10100453064,10100711365,0.5077
10100686779,10100453064,0.6006
10100336986,10260063258,0.16
10861533126,10102320058,0.0151
10320061053,10320053498,0.4708
10100314776,10840024608,0.0158
10101887744,10102830088,0.441
10101634157,10102830088,0.203
10100686779,10102830088,0.0472
10320435268,10320718237,0.1681
10320412650,10320718237,0.0342
10102801942,10100314757,0.1723
10980196817,10102583274,0.0234
10320359435,10100314776,0.0827
10861736062,10100314776,0.0366
10102801942,10100314776,0.0204
10101634157,10320798438,0.02
14004518505,10320798438,0.0126
10100686779,10100427917,0.1159
10100231402,10102377650,0.4989
10100539090,10100503545,0.64
10100539090,10100382645,0.5673
10101662543,10100382645,0.0239
10100686779,10320826196,0.01
10320903570,14009058908,0.05
10100443908,10102247441,0.3627
14004518505,10100193589,0.0329
10102801942,10100834967,0.0559
10101826594,10100834967,0.0446
10102194601,10103808680,0.1989
10103584900,10103808680,0.0571
10100539090,10103808680,0.0394
10100686779,10100393826,0.1033
10101800682,10102203401,0.0714
10103858909,10100679553,0.14
10100686779,10100679553,0.0372
10200101095,10100679553,0.0145
14004518505,10861736062,0.0811
10101750182,10861736062,0.0299
10102801942,10861736062,0.0288
10101972093,10102818130,0.1163
10100302746,10101795696,0.0299
10102801942,10320591652,0.2893
10320359435,10320591652,0.0383
10320798438,10103800056,0.05
10103387520,10103800056,0.05
10102801942,10103800056,0.0479
10103749172,10103800056,0.0478
14004518505,10103800056,0.038
10101972093,10103800056,0.0319
10100607716,10861450700,0.0381
10101236571,10200248803,0.6977
10100326014,10100509458,0.4855
10101634157,10101887744,0.1745
10101634157,10860736052,0.0111
10630019476,10860238958,0.3711
10320453421,14005432871,0.0401
10103525426,14005432871,0.0366
10260085303,10260328063,0.3999
10101660410,10240049946,0.3163
10101660410,10680033968,0.1593
10100835286,10100402567,0.8369
10100314776,10100978129,0.0121
10100711350,10861412626,0.6555
10100443908,10861412626,0.0246
10101156935,10861412626,0.0135
10860385410,10740034217,0.4862
10100835286,10740034217,0.3447
10100686779,10100835286,0.1703
10100336986,10260279270,0.5141
10100443908,10260279270,0.0366
10100835286,10260279270,0.0108
10840118827,10101007595,0.4375
10100835286,10101823437,0.8287
10100835286,10101725582,0.7969
10100835286,10860385410,0.5131
10100443908,10860385410,0.1094
10101156935,10860385410,0.0144
10100711350,10102402553,0.7088
10100443908,10102402553,0.1253
10101156935,10102402553,0.0236
10100686779,10530184352,0.0121
10100686779,10100450900,0.1637
10101750182,10100450900,0.1427
10100711350,10102350203,0.6077
10100443908,10102350203,0.1198
10100443908,10100711350,0.6963
10101156935,10100711350,0.0254
10100443908,10102901102,0.5808
10101044869,10102543204,0.3516
10860385410,10102328820,0.1747
10100835286,10102328820,0.1425
10200092392,10102328820,0.0571
10100231402,10102571964,0.824
10320453421,14004932504,0.0498
10103525426,14004932504,0.0215
10102203401,10101850423,0.0183
10101011750,10861808525,0.7729
10100314757,10861533126,0.1504
10100314776,10861533126,0.1204
10100641966,10861533126,0.1097
10861736062,10861533126,0.03
10102801942,10861533126,0.0118
10100443908,10101156935,0.5893
10100835286,10100999659,0.537
10260377008,10260449435,0.3051
10260289240,10260449435,0.252
14004518505,10260206130,0.0374
10101634157,10260206130,0.0352
10320826260,10260206130,0.0232
10101826594,10100613721,0.4802
10100686779,10100429427,0.0297
10101634157,10861926358,0.3297
10100686779,10101138294,0.0112
10101634157,10102849101,0.0669
10103525426,10000000001,0.0129
10102801942,10103749172,0.0522
10103800056,10103749172,0.025
14004518505,10103749172,0.0112
10460002140,10100984757,0.8476
10100539090,10101662543,0.5047
10101887744,10102906939,0.2386
10100686779,10100515216,0.0135
10100686779,10100495902,0.0897
10100539090,10860445038,0.0454
10101662543,10860445038,0.0226
10101634157,10860515050,0.2251
10100360794,10101800682,0.4183
10860385410,10200092392,0.1452
10100686779,10220048615,0.0879
10103992454,10320435268,0.0792
10103525426,10320435268,0.0477
10102757695,10260244573,0.7449
10860515050,10980296959,0.3184
10860515050,10860541940,0.2837
10101634157,10860541940,0.1893
10260279270,10100418567,0.2548
10100336986,10100418567,0.151
10760319653,10861529526,0.0807
10102680599,10861529526,0.0196
10861736062,10100594509,0.0187
10102194601,10103838251,0.5821
10100539090,10103838251,0.1828
10103024860,10103838251,0.1271
10260279270,10100127830,0.6669
10101800682,10100360794,0.1059
10100686779,10100360794,0.0501
10861736062,10100360794,0.0336
10102801942,10100360794,0.0168
10100360794,10100326014,0.4015
14004518505,10101750182,0.103
10100641966,10320128841,0.0204
10320412650,10103992454,0.0215
10100711350,10100394490,0.5383
10100686779,10100288420,0.0757
10100686779,10100323537,0.2885
10102801942,10320689841,0.0685
10102801942,10103387520,0.0107
10100686779,10420002350,0.0153
14004518505,10101788618,0.7395
10100711350,10861220664,0.5873
10100443908,10861220664,0.0648
10101156935,10861220664,0.0234
10100686779,10861220664,0.0144
10100233725,10860260078,0.5138
10101634157,10100994352,0.7507
10460002140,10100353165,0.0284
10100984757,10100353165,0.0223
10100320247,10100353165,0.0106
10100235615,10420082717,0.4477
10100686779,10420082717,0.1103
10100233725,10420082717,0.0369
10260259140,10420082717,0.0223
10861051155,10420082717,0.0163
10101750182,10420082717,0.0131
10101054217,10420082717,0.01
10101800682,10380275609,0.0418
10100443908,10100422509,0.2179
10100686779,10380192345,0.0853
10101634157,10101726150,0.833
10100686779,10100313060,0.09
10101850423,10861572410,0.157
10101178687,10100607716,0.5209
10101660410,10860555136,0.0392
10102680599,10860555136,0.0253
10103389006,10860328848,0.1323
10101826594,10860328848,0.0113
10101044869,10861629011,0.1104
10100360794,10102340228,0.344
10100360794,10102404600,0.5883
10100686779,10100377816,0.0868
10103992454,10102801085,0.1393
10100686779,10100326962,0.1488
10100686779,10101634157,0.0181
10102801942,10101634157,0.0168
10101800682,10100399042,0.3607
10861533126,10100399042,0.035
10101800682,10101267070,0.4233
10460002140,10100320247,0.5552
10100686779,10100320247,0.0514
10100353165,10460002140,0.8118
10320826196,14006444985,0.1999
10260289240,10860958854,0.4005
10460002140,10860251887,0.3006
10100984757,10860251887,0.0123
10100353165,10860251887,0.01
10100686779,10980196817,0.0912
10102801942,10320359435,0.92
10101165910,10320359435,0.01
10101236571,10103122715,0.7607
10100539090,10100239199,0.6823
10100686779,10100470757,0.4252
10101236571,10103382392,0.9999
14004518505,10101236571,0.1359
10101634157,10100582059,0.0307
10200044047,10200101232,0.836
10100641966,10100577370,0.0124
10101874640,10100434484,0.01
10100314776,10000000002,0.0523
10103800056,10000000002,0.0264
10101634157,10000000002,0.0254
10861736062,10100686779,0.0511
10102801942,10100686779,0.0255
10320435268,10320412650,0.4808
10103992454,10320412650,0.3705
10102320058,10260138918,0.0186
10102801942,10000000003,0.0634
10100314776,10000000003,0.0415
10100686779,10000000003,0.0327
10103800056,10000000003,0.0237
10101634157,10000000003,0.0212
10260289240,10000000003,0.0154
10101800682,10101011750,0.3571
10100360794,10101011750,0.3039
14004518505,10102373511,0.0109
10101874640,10102373511,0.01
10101660410,10102194601,0.0514
10102172273,10102194601,0.0486
10101662543,10102194601,0.0466
10101683349,10102194601,0.0247
10100503545,10102194601,0.0241
10100539090,10102194601,0.0235
10102194601,10102194601,0.0183
10100686779,10100302746,0.1501
10101874640,10102472141,0.01
10260057369,10260298230,0.0199
10100686779,10630146473,0.1314
10101660410,10101683349,0.3849
10102680599,10101683349,0.1011
10861533126,10530196515,0.0337
10100686779,10100282064,0.1308
10101887744,10320701236,0.1657
10860515050,10320701236,0.1106
10102757695,10100364988,0.6696
14004518505,10100364988,0.0195
10103389006,10320061053,0.1875
10100686779,10103389006,0.0149
10100835286,10100336986,0.0358
10101874620,10260279928,0.4838
10101750182,10101826594,0.0212
10100686779,10101826594,0.0104
14004932504,10102773156,0.0196
10100434484,10320481010,0.4139
10101662543,10861349161,0.0144
10103389006,10660049146,0.3747
10101826594,10100455748,0.0432
10101750182,10100455748,0.011
10100443908,10100664423,0.5949
10861412626,10100664423,0.1603
10102402553,10100664423,0.1062
10861220664,10100664423,0.0213
10101156935,10100664423,0.0176
10101236571,10380421244,0.5232
10101236571,10103074333,0.5153
10103389006,10101874688,0.1524
10861736062,10101874688,0.048
10102801942,10101874688,0.0282
10861736062,10101874620,0.0478
10102801942,10101874620,0.0377
10101978329,10101874620,0.0259
10103389006,10101874806,0.4953
10861736062,10101874806,0.0518
10100834967,10101874806,0.0259
10103389006,10102723888,0.6878
14004003162,10102952412,0.8806
10103389006,10101874709,0.5413
10861736062,10380382990,0.1445
10320435268,10103132855,0.0471
10103389006,10530010025,0.5068
10101044869,10420205695,0.701
10861736062,10101874640,0.0525
10102801942,10101874640,0.0278
10103389006,10101912174,0.339
10100433825,10102510120,0.9999
10100231402,10100690330,0.2774
10101750182,10861532334,0.1594
10200044047,10200101095,0.7896
10103389006,10860727560,0.01
10103584900,10102968790,0.2591
10100235615,10101175572,0.2684
10630019476,10240057286,0.0425
10100246682,10240057286,0.0295
10101044869,10101924696,0.3224
10861736062,14004518505,0.7458
10102194601,10101660410,0.0797
10102680599,10101660410,0.0412
10100686779,10100322690,0.1851
10320718237,10380425043,0.0129
10100231402,10102341535,0.2542
10100235615,10420111121,0.5058
10100917154,10420111121,0.1713
10260259140,10420111121,0.0101
10100235615,10101013009,0.4032
10660015738,10101013009,0.1064
10100686779,10101013009,0.0207
10100246682,10101134554,0.0498
10100665220,10101134554,0.02
10101972093,10100456884,0.0133
10100235615,10740026271,0.3383
10101134554,10101336603,0.1612
10260259140,10101336603,0.1005
10861081241,10101169402,0.4816
10101972093,10861533067,0.4696
10101874620,10101978329,0.173
10100314776,10100235615,0.0146
10100235615,10101258929,0.7681
10200007381,10101258929,0.0237
10101134554,10101258929,0.0237
10101175572,10101258929,0.0191
10861051155,10101258929,0.0113
10100235615,10861051155,0.8544
10100235615,10861494662,0.5328
10100686779,10100889278,0.1594
10100246682,10100917154,0.0271
10100235615,10660015738,0.5086
10100246682,10660015738,0.0487
10101134554,10660015738,0.0195
10100686779,10380252873,0.0952
10100641966,10380252873,0.0136
10861081241,10820049324,0.6831
10101134554,10820049324,0.0166
10100314776,10820049324,0.014
10100539090,10100300290,0.0247
10101662543,10100300290,0.0206
10101972093,10861100557,0.0239
10840118827,10103858909,0.531
10861529526,10760319653,0.0492
10100539090,10102757695,0.7669
10101662543,10102757695,0.0172
10101134554,10100246682,0.0108
10100288420,10101178687,0.1496
10101044869,10101942066,0.7128
10860515050,10630161649,0.4183
10100582059,10630161649,0.0359
10101660410,10102172273,0.925
10100235615,10101094745,0.5411
10100686779,10101094745,0.1522
10101134554,10101094745,0.0157
10100686779,10630019476,0.1333
10100235615,10101054217,0.427
10100686779,10101054217,0.0193
10101236571,10780114515,0.6746
10630019476,10100665220,0.1948
10100246682,10100665220,0.1738
10100235615,10100665220,0.088
10100917154,10100665220,0.029
10220016318,10100665220,0.0228
10101660410,10102680599,0.4564
10100582059,10460036512,0.0155
10460002140,10100359308,0.5573
10860251887,10100359308,0.0278
14004518505,10320903570,0.1447
10101750182,10320903570,0.0979
10101134554,10480015652,0.0189
10100235615,10260259140,0.0518
10101175572,10260259140,0.0153
10220016318,10260259140,0.0147
10260259140,10100233725,0.1151
10100235615,10100233725,0.0336
10100235615,10530324529,0.5627
10101750182,10530324529,0.1584
10100235615,10200007381,0.069
10102906939,10480063936,0.5045
10101887744,10480063936,0.3254
10100686779,10100383781,0.102
10100686779,10861081241,0.0244
10100314776,10861081241,0.0116
10101044869,10101908370,0.8582
10861736062,10700144582,0.0273
10100686779,10220016318,0.1248
10100235615,10220016318,0.0134
10101134554,10220016318,0.0131
10100233725,10100233725,0.9999
10102757695,10102239945,0.6048
10260289240,10260328876,0.2737
10100686779,10100387143,0.1287
10260289240,10260357602,0.5176
10100314776,10260357602,0.0585
10860958854,10260357602,0.0174
10260289240,10260377008,0.5637
10860958854,10260377008,0.0445
10260357602,10260377008,0.0284
14004518505,10103251617,0.0299
10100314776,10260289240,0.0187
10101138294,10000000004,0.0911
10260085303,10000000004,0.0289
10861926358,10000000004,0.0278
10100941473,10000000004,0.0242
10220016318,10000000004,0.019
10460036512,10000000004,0.0175
10101978329,10000000004,0.0102
10100360794,10101136712,0.8507
10100326014,10101136712,0.0315
10102801942,10320453421,0.7497
10101634157,10320826260,0.5626
10101887744,10320826260,0.1726
10860515050,10320826260,0.17
10103389006,14005725237,0.1999
10102194601,10103584900,0.2292
10100539090,10103584900,0.0923
10101660410,10103584900,0.0517
10102680599,10103584900,0.0169
10103808680,10103584900,0.0122
10101800682,10260041071,0.2951
10260289240,10260322490,0.5227
10100231402,10200044047,0.1081
10100686779,10200044047,0.037
10861736062,10100433825,0.0317
10102801942,10100433825,0.0158
10102801942,10103525426,0.0849
10101165910,10103525426,0.0361
10100686779,10100539090,0.0858
10100433825,10460096368,0.9999
10102194601,10103024860,0.9499
10101165910,10103972003,0.6872
10320591652,10103972003,0.0151
10101826594,10102967236,0.4705
10000000001,10320814852,0.9999
10103584900,10000000010,0.05
10103525426,10000000010,0.0334
10100582059,10000000012,0.09
10103389006,10000000017,0.1566
10100443908,10102901102,0.7632
10260085303,10480037917,0.95
10101236571,10260482101,0.6369
10100834967,10102801942,1.0
10100834967,10101165910,1.0
10100834967,14004003162,1.0
10100834967,10320718470,0.13
